id,code,name,district_id,id,name,code,region_divisions_id,id,name,code
275,MMR013032,Cocokyun,72,72,"Yangon (South)",MMR013D003,15,15,Yangon,YGN
276,MMR013024702,Tadar,72,72,"Yangon (South)",MMR013D003,15,15,Yangon,YGN
277,MMR013033,Kyauktada,73,73,"Yangon (West)",MMR013D004,15,15,Yangon,YGN
278,MMR013034,Pabedan,73,73,"Yangon (West)",MMR013D004,15,15,Yangon,YGN
279,MMR013035,Lanmadaw,73,73,"Yangon (West)",MMR013D004,15,15,Yangon,YGN
280,MMR013036,Latha,73,73,"Yangon (West)",MMR013D004,15,15,Yangon,YGN
281,MMR013037,Ahlone,73,73,"Yangon (West)",MMR013D004,15,15,Yangon,YGN
282,MMR013038,Kyeemyindaing,73,73,"Yangon (West)",MMR013D004,15,15,Yangon,YGN
283,MMR013039,Sanchaung,73,73,"Yangon (West)",MMR013D004,15,15,Yangon,YGN
284,MMR013040,Hlaing,73,73,"Yangon (West)",MMR013D004,15,15,Yangon,YGN
285,MMR013041,Kamaryut,73,73,"Yangon (West)",MMR013D004,15,15,Yangon,YGN
286,MMR013042,Mayangone,73,73,"Yangon (West)",MMR013D004,15,15,Yangon,YGN
287,MMR013043,Dagon,73,73,"Yangon (West)",MMR013D004,15,15,Yangon,YGN
288,MMR013044,Bahan,73,73,"Yangon (West)",MMR013D004,15,15,Yangon,YGN
289,MMR013045,Seikkan,73,73,"Yangon (West)",MMR013D004,15,15,Yangon,YGN
290,MMR014001,Taunggyi,63,63,Taunggyi,MMR014D001,13,13,Shan,SHN
291,MMR014002,Nyaungshwe,63,63,Taunggyi,MMR014D001,13,13,Shan,SHN
292,MMR014003,Hopong,63,63,Taunggyi,MMR014D001,13,13,Shan,SHN
293,MMR014004,Hsihseng,63,63,Taunggyi,MMR014D001,13,13,Shan,SHN
294,MMR014005,Kalaw,63,63,Taunggyi,MMR014D001,13,13,Shan,SHN
295,MMR014006,Pindaya,63,63,Taunggyi,MMR014D001,13,13,Shan,SHN
296,MMR014007,Ywangan,63,63,Taunggyi,MMR014D001,13,13,Shan,SHN
297,MMR014008,Lawksawk,63,63,Taunggyi,MMR014D001,13,13,Shan,SHN
298,MMR014009,Pinlaung,63,63,Taunggyi,MMR014D001,13,13,Shan,SHN
299,MMR014010,Pekon,63,63,Taunggyi,MMR014D001,13,13,Shan,SHN
300,MMR014001703,Kyauktalonegyi,63,63,Taunggyi,MMR014D001,13,13,Shan,SHN
301,MMR014008702,Intaw,63,63,Taunggyi,MMR014D001,13,13,Shan,SHN
302,MMR014009702,"Naungtayar ",63,63,Taunggyi,MMR014D001,13,13,Shan,SHN
